id,pokemon,CP,hp,stardust,atk IV,def IV,stam IV
1,meltan,838,95,5000,13,10,1
2,meltan,823,98,5000,11,7,4
3,meltan,784,101,4500,5,15,13
4,meltan,727,96,5000,4,0,4
5,meltan,711,96,4000,6,15,15
6,meltan,688,89,4000,4,13,2
7,meltan,683,95,4000,4,5,10
8,meltan,677,93,4500,0,1,2
9,meltan,676,91,4000,6,10,7
10,meltan,658,96,4000,0,9,15
11,meltan,658,83,3500,15,13,0
12,meltan,651,88,4000,5,7,3
13,meltan,650,89,3000,13,13,13
14,meltan,396,70,1900,2,13,6
15,meltan,382,73,1900,2,0,13
16,meltan,362,64,1600,12,9,4
17,meltan,198,50,800,9,14,15
18,meltan,139,41,600,15,10,12
19,meltan,139,42,600,13,11,15
20,meltan,76,30,400,14,11,12
