id,pokemon,CP,atk IV,def IV,stam IV
1,slakoth,822,10,6,13
2,slakoth,815,12,15,6
3,slakoth,804,7,8,6
4,slakoth,802,9,15,4
5,slakoth,780,13,1,12
6,slakoth,767,13,9,4
7,slakoth,751,8,8,13
8,slakoth,722,13,14,12
9,slakoth,711,10,8,1
10,slakoth,685,2,12,6
11,slakoth,679,9,3,9
12,slakoth,662,14,14,7
13,slakoth,660,1,7,5
14,slakoth,652,14,7,0
15,slakoth,640,3,4,6
16,slakoth,622,15,3,2
17,slakoth,621,15,14,12
18,slakoth,532,15,2,12
19,slakoth,499,2,10,0
20,slakoth,418,12,15,15
21,slakoth,408,12,11,13
